Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel ,Journalists,Experts,"196 context hits for ""public"" / ""opinion"""
Attack,,,,,,,"slon , ( Continued on Fourth l'ago . ) TORPEDO WAS USED . ( Continued from Klrst I'ngc . ) tlio opinion ol the majority Is that tno question will bo easily settled by the simple observations of the c"
,,Attack,,,,,"retary Ione positively denies that Tnptaln Slgsbeo has In any suppressed telegram expressed the opinion that a. torpedo caused the disaster , or that It lama from an external cause . The cap raid , o"
Accident,,,,,,,"cation of design . There fore my impression has been all along , and I rather think the general opinion preponderates In the same direction , that it must have been accidental . At the cabinet meetin"
Attack,,,,,,,"t prevailed at Havana , and at the time of sailing the foreign population were generally of the opinion that the Maine was destroyed by deslKn . They cited among other things In support of U1I3 theor"
Attack,,,,,,,"bruary 10 The people of Dallas are greatly excited over the blowing up of the cruiser Maine The opinion prevails general ly that the Spanish authorities are ei ther directly or Indirectly concerned I"
,,,Undecided/Unclear,,,,"Senator Morgan-a true friend of Cuban billigerency says he does not know , will not express an opinion . He however favors build ing two such ships to take her place . Senator Perkins , of Californi"
,,,Accident,,,,"s Their Sorrow . Washington , Feb . 17. -- From all in formation that can be gathcred it is the opinion of most publio men at the na tional capital that the destruction of the Maine was accidental ,"
,,,,,,Accident,"s , Sesoepns tidisuasater bo _Cptain Dickens , chief of the naviga tie . bureau , expressed the opinion that , .the espaleton took place in themagasine Sof the Maui , He said this is evident for the"
Accident,,,,,,,"sed because of the meagerness of present informotion as to the details , expressed the informal opinion that the accident occurred from a spontaneous combustion in the coal bunkers , the heat of whic"
,,,Accident,,,,"profound impression at the capitol . Sen ators and members of the house as a .ule expressed the opinion for publica tion that the catastrophe was the result of an action and not of design , but it wa"
,,,Suspend Opinion,,,,"b lish ; that the affair looked very mys terious and doubtful . Asa rule senators expressed the opinion that the navy de partment would and should make a thorough investigation , and added that for t"
,,,Accident,,,,"feel confident that facts , when de veloped , will show an accident . '' The senator expressed opinion that congress would take steps to prevent 4e crease in the navy , but would not under take to s"
,,,,,Attack,,"rds of sympathy have been re ceived from many European rulers . Eng lish newspapers express the opinion that the disaster was the result of a Spanish plot . A Court of Inquiry to investigate tbe Main"
,Attack,,,,,,"at it had been caused by a torpedo . Tbe report is not credited at the Navy Department . In the opinion of Lieutenant Hood , of the Maine , she can never again be utilized at a ship . Tbe whole forwa"
Accident,,,,,,,"blown out of its place . As to the origin of the explosion there is still a wide ditference of opinion , but the coal bunker theory is iindiug many more supporters than any other . On tbe night of t"
,,Attack,,,,,"etary Ixng jositivcly denies that Captain Sigsliee has in any suppressed telegram expressed the opinion that a tor pedo caused the disaster , or that it came from an external cause . Of the sixty-two"
,,,Undecided/Unclear,,,,"ding tbe olSciai investigation there is nothing but conjecture or prejudice upouwhichtoba.se an opinion , and , so far as the administration is concerned at least , there is au evident determination"
,,Suspend Opinion,,,,,"w pieces of equipment still above water . No one had other clothes than those upon him . Public opinion should be suspended till further report . All officers believed to be saved . Jenkins and Merri"
,,,,,,Undecided/Unclear,"be justly viewed . Conflicting ; Theories . Secretary Long undoubtedly summar ized the general opinion of the major ity of the naval experts in finding It impossible just now to state the cause cf t"
Undecided/Unclear,,,,,,,"ble disrupted condition of the hull of the ship , to make out the cause of the ex plosion , the opinion of the majority is that the question will be easily settled by the simple observation of the co"
Undecided/Unclear,,,,,,,"e in formation as to the causes and results j of the Maine catastrophe I would not j venture an opinion upon it . If it was an accident , as the first dispatch seem to indicate , it was most deplorab"
,,,Accident,,,,"d before any more facts are given , to place the responsibility . '' Senator Morrill : `` In my opinion the ! occurrence is the result of an accident , j I have no idea that any Spaniard had anything"
,,,,,,Undecided/Unclear,"ince the American people that the explosion was an accident . He would I not wish to express an opinion until i farther information wa received . Mr. Cummings . of New York , a mem ber of the naval c"
,,,,,,Attack,"Mr. Cummings . of New York , a mem ber of the naval committee , unhesitat ingly gave it as his opinion that the ship had been blown up by a floating torpedo . `` It would have been easy . '' ■ said"
,,,Accident,,,,"ntil the cause of the disas ter was ascertained . Senator Platt . of Connecticut ex pressed the opinion that the explosion would be found to be the resuli an accident from within , and he doubt ed th"
,,,,Attack,,,"t as soon as a vessel visited Ha vana this great disaster should occur . Gen. Butler was of the opinion that some bold man had gone aboard the ) Maine and placed a grenade with a slew match where It"
,,,Attack,,,,"d to visit the warship and tbat some one of the visitors had carried a grenade aboard . Bale 's Opinion . Senator Hale , chairman of the com mittee on na\-al affairs and a member of the committee on"
,,,,,Undecided/Unclear,,"e of our own ships . '' It thinks the theory that the boilers burst ab surd , but expresses the opinion that there is `` no apparent justification of foul play . '' The Dally Mail says : `` The suspi"
Undecided/Unclear,,,,,,,"accident hypothesis , all of which , in the absence of any facts on which to base a reasonable opinion , were decidedly unsatisfying . MeKlnley ( aim . At the White house the president spent the eve"
,,,,,Undecided/Unclear,,"spicion . And it is sig njficant that nearly all the newspapers of Europe , expressing a public opinion which is far from favorable to us , but having means of estimating the Span ish character , hin"
Accident,,,,,,,"tion of de sign . Therefore , my Impression has been all along , and I rather think the general opinion preponderates in the same direction , that it must have been accidental . At the cabinet meetin"
,,,,,,Attack,"om Sylvester Scovel , under today 's date of Havana , via Key West , says : `` The consensus of opinion of those who have situdied the wreck closest now is that the explosion was caused by a sub-mari"
Undecided/Unclear,,,,,,,"e • , ! : ist . i.ci In End the History of Thai lit ! ■llin ji 11 Sat iaii 's Atroc `` it is my opinion that the Spanish efi.k the Maine . '' Rev . Thomas Hambly solemnly made this charge , i : Clint"
Attack,,,,,,,"t our hand to stop this tide of starvation , of bloody war and commer cial paralysis . It is my opinion that the Spaniards sunk the .Maine . As a nation we dare not say it until a thorough investigat"
Attack,,,,,,,"D. Garrison and a copy will be sent to the secretary of the navy . DESTROYED BY DESIGN GENERAL OPINION OF PASSENGERS ARRIVINQ FROM HAVANA `` Will lam Garbln , Reaching New York by a Ward Line Steame"
Attack,,,,,,,"ent prevailed at Havana ajid at the time of sailing the foreign population was generally of the opinion that the Maine was destroyed by design . They cited among other things , in support of this the"
